Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-22T17:21:51.912Z","Included","auto","No","0","52427","72192","1987","126606","0.10"
"2026-02-22T16:58:52.473Z","Included","gpt-5.3-codex","No","0","130373","472064","3795","606232","0.36"
"2026-02-22T16:53:01.546Z","Included","composer-1","No","0","65253","279776","2654","347683","0.15"
"2026-02-22T16:53:01.495Z","Included","composer-1","No","0","32975","95200","1691","129866","0.06"
"2026-02-22T16:51:55.166Z","Included","gpt-5.3-codex","No","0","107527","304000","4969","416496","0.31"
"2026-02-22T16:51:24.784Z","Included","gpt-5.3-codex","No","0","69694","1330688","2537","1402919","0.39"
"2026-02-22T16:50:06.948Z","Included","gpt-5.3-codex","No","0","73865","653824","1990","729679","0.27"
"2026-02-22T16:47:56.657Z","Included","gpt-5.3-codex","No","0","21258","389888","1073","412219","0.12"
"2026-02-22T16:43:59.162Z","Included","auto","No","0","135168","1728512","9490","1873170","0.66"
"2026-02-22T16:42:09.117Z","Included","auto","No","0","43267","221696","5751","270714","0.14"
"2026-02-22T16:40:59.286Z","Included","gpt-5.3-codex","No","0","23168","111616","419","135203","0.07"
"2026-02-22T16:40:32.480Z","Included","gpt-5.3-codex","No","0","759","134016","320","135095","0.03"
"2026-02-22T16:38:16.815Z","Included","gpt-5.3-codex","No","0","22252","111616","318","134186","0.06"
"2026-02-22T16:36:14.826Z","Included","gpt-5.3-codex","No","0","21329","111616","350","133295","0.06"
"2026-02-22T16:35:07.048Z","Included","auto","No","0","58633","662016","4308","724957","0.26"
"2026-02-22T16:35:00.209Z","Included","gpt-5.3-codex","No","0","746","130304","755","131805","0.03"
"2026-02-22T16:34:31.507Z","Included","gpt-5.3-codex","No","0","127993","1536","882","130411","0.24"
"2026-02-22T16:33:12.112Z","Included","auto","No","0","53532","326144","5895","385571","0.18"
"2026-02-22T16:33:02.094Z","Included","auto","No","0","7340","11264","337","18941","0.01"
"2026-02-22T16:32:27.686Z","Included","gpt-5.3-codex","No","0","2882","125568","454","128904","0.03"
"2026-02-22T16:29:31.830Z","Included","gpt-5.3-codex","No","0","233627","19456","1137","254220","0.43"
"2026-02-22T16:26:39.799Z","Included","auto","No","0","10385","691712","4366","706463","0.21"
"2026-02-22T16:25:55.940Z","Included","auto","No","0","1486","92672","562","94720","0.03"
"2026-02-22T16:24:53.338Z","Included","gpt-5.3-codex","No","0","347214","2459776","5754","2812744","1.12"
"2026-02-22T16:18:33.605Z","Included","auto","No","0","12889","698368","5395","716652","0.22"
"2026-02-22T16:16:47.882Z","Included","auto","No","0","6247","152064","1180","159491","0.05"
"2026-02-22T16:15:06.724Z","Included","gpt-5.3-codex","No","0","269780","2795776","8054","3073610","1.07"
"2026-02-22T16:12:51.172Z","Included","gpt-5.3-codex","No","0","166239","189056","2724","358019","0.36"
"2026-02-22T16:10:14.151Z","Included","gpt-5.3-codex","No","0","218908","272896","2681","494485","0.47"
"2026-02-22T16:03:51.868Z","Included","gpt-5.3-codex","No","0","13853","58368","784","73005","0.05"
"2026-02-22T16:02:17.209Z","Included","auto","No","0","66392","304128","1982","372502","0.17"
